solver,threads,clock_time,wall_clock_time,matrix_info,trial
amgcl,1,0.035903,"0.0358595
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,6,0.110218,"0.019136
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,11,0.187304,"0.0186378
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,16,0.290676,"0.0200051
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,21,0.400134,"0.0214802
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,26,0.513392,"0.0225271
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,31,0.698452,"0.0254667
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,36,0.796757,"0.025723
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,41,0.983366,"0.0279537
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,46,1.27367,"0.031928
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,51,1.47376,"0.0334543
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,56,1.69199,"0.0350251
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,61,2.10682,"0.0397419
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,66,2.2072,"0.0379867
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,71,3.12803,"0.0577208
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,76,2.94636,"0.0439613
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,81,3.81623,"0.0571088
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,86,4.78684,"0.0794759
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,91,4.49198,"0.0750834
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,96,5.27298,"0.0792837
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,0
amgcl,1,0.031545,"0.031593
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,6,0.133398,"0.0228748
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,11,0.20566,"0.019672
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,16,0.300619,"0.0202362
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,21,0.380001,"0.0202864
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,26,0.566435,"0.0238215
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,31,0.650163,"0.0241173
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,36,0.96863,"0.0306171
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,41,0.979024,"0.0276135
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,46,1.22236,"0.0304008
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,51,1.35354,"0.031595
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,56,1.7874,"0.0364522
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,61,2.03144,"0.0376311
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,66,2.27194,"0.0396016
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,71,2.50635,"0.0407887
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,76,3.56776,"0.0657875
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,81,3.9352,"0.0654297
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,86,4.14047,"0.0689642
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,91,5.2128,"0.0844012
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,96,4.99289,"0.0771035
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,1
amgcl,1,0.032851,"0.0328876
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,2
amgcl,6,0.12453,"0.0214382
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,2
amgcl,11,0.216937,"0.0209545
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,2
amgcl,16,0.290477,"0.0193173
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/59_2_A.bin,2
