solver,threads,clock_time,wall_clock_time,matrix_info,trial
amgcl,1,9.09406,"9.09731
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,6,69.3241,"11.5587
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,11,103.178,"9.38496
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,16,177.868,"11.1222
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,21,215.722,"10.2788
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,26,266.083,"10.24
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,31,345.295,"11.1454
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,36,423.106,"11.7602
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,41,495.462,"12.092
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,46,550.513,"11.9741
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,51,756.186,"14.8363
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,56,821.099,"14.6714
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,61,922.533,"15.1338
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,66,968.89,"14.6911
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,71,1293.26,"18.2266
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,76,1395.62,"18.3931
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,81,1899.48,"23.4807
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,86,2170.34,"25.2696
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,91,198.174,"2.20087
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,96,2089.32,"21.7955
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,0
amgcl,1,9.01224,"9.0163
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,6,72.355,"12.0641
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,11,116.582,"10.6031
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,16,162.406,"10.155
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,21,236.073,"11.2471
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,26,216.408,"8.32846
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,31,348.182,"11.2377
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,36,439.424,"12.2133
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,41,532.158,"12.9872
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,46,624.874,"13.5924
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,51,853.813,"16.7499
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,56,893.696,"15.9684
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,61,1039.69,"17.0539
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,66,1119.17,"16.9682
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,71,1148.54,"16.2012
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,76,1683.6,"22.1766
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,81,1494.43,"18.4766
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,86,1711.24,"19.9265
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,91,197.915,"2.1946
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
amgcl,96,2120.66,"22.1256
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/74_2_A.bin,1
